id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial
235,2436,Lavender,Female,Shade 5,None,None,Dreads,Red,Zip Up Hoodie,Silver Cuban,Septum Piercing,Reading Glasses,None
236,1216,Sand,Male,Shade 5,None,Winter Hat,Hat,Brown,Shirtless,None,Hay,Shutter Shades,Lined Up Soul Patch
237,659,Light Purple,Female,Shade 6,None,Sweatband,Hat,Brown,Camo Tee,Black Choker,Hay,Silver Piercings,None
238,4533,Orange,Male,Shade 6,None,None,Shaggy,Red,Shirtless,None,None,None,None
239,1557,Turquoise,Male,Shade 6,None,Forwards Cap,Hat,Platinum,Ripped Up Tee,None,Hay,Reading Glasses,Sideburns
240,4418,Orange,Female,Shade 3,None,None,Mullet,Red,Zip Up Hoodie,None,None,None,None
241,4242,Mauve,Female,Shade 4,None,None,Bowl Cut,Brown,Button up,None,None,None,None
242,225,Lavender,Male,Shade 5,Street Tats,Beanie,Hat,Platinum,Collard Tee,Black Choker,Septum Piercing,None,None
243,1353,Turquoise,Male,Shade 3,None,None,Spikey,Blonde,Ripped Up Tee,Black Choker,Septum Piercing,Sunglasses,Quarter Goat
244,726,Blue,Female,Shade 4,None,Beanie,Hat,Brown,Leather Jacket,Pink Choker,Pipe,Designer Shades,None
245,2301,Green,Female,Shade 3,None,None,Dreads,Blonde,White Tank,Gold Cuban,Vape,Silver Piercings,None
246,3075,Light Purple,Female,Shade 5,None,None,Dreads,Blonde,Button up,Silver Cuban,Quellazaire,None,None
247,3873,Blue,Female,Shade 4,None,None,Dreads,Brown,Hoodie,None,Cigarette,None,None
248,1454,Yellow,Male,Shade 2,None,Trucker Hat,Hat,Red,Ripped Up Tee,None,Quellazaire,Gold Piercings,Sideburns
249,652,Orange,Male,Shade 4,None,Bucket Hat,Hat,Blonde,Camo Tee,Gold Cuban,Septum Piercing,Designer Shades,Chinstrap
250,2922,Mauve,Female,Shade 5,None,Winter Hat,Hat,Brown,White Tank,None,None,Bridge Piercing,None
251,2625,Turquoise,Male,Shade 1,None,None,Buzzed Braids,Blonde,Collard Tee,Black Choker,Blunt,None,Sideburns
252,3925,Pine,Male,Shade 7,None,None,Shaggy,Blonde,Shirtless With Tats,None,Cigarette,None,None
253,3544,Yellow,Female,Shade 1,None,None,Shaggy,Brown,Zip Up Hoodie,None,Cigarette,Reading Glasses,None
254,3591,Turquoise,Male,Shade 3,None,None,Mohawk,Platinum,Button up,Silver Cuban,Vape,None,None
255,3447,Pine,Male,Shade 3,None,None,Mullet,Red,White Tee,Gold Cuban,None,Reading Glasses,None
256,2656,Mauve,Male,Shade 3,None,None,Buzzed Braids,Brown,Hoodie,Gold Cuban,Blunt,Designer Shades,None
257,611,Mauve,Female,Shade 6,None,Forwards Cap,Hat,Black,Striped Tee,Pearl Necklace,Quellazaire,Cyborg Glasses,None
258,1954,Sand,Female,Shade 2,None,Forwards Cap,Hat,Black,Dress,None,Cigarette,Shutter Shades,None
259,2461,Mauve,Female,Shade 5,None,None,Mohawk,Black,White Tee,Gold Cuban,Septum Piercing,Gold Piercings,None
260,2803,Yellow,Female,Shade 7,None,None,Dreads,Platinum,Dress,None,Surgical Mask,Silver Piercings,None
261,4101,Light Purple,Female,Shade 6,None,None,Crew Cut,Black,Rags,None,None,None,None
262,1919,Yellow,Female,Shade 1,None,Sweatband,Hat,Platinum,Camo Tee,Gold Cuban,Vape,None,None
263,604,Sand,Female,Shade 2,None,Horns,Hat,Blue,Hoodie,Silver Cuban,Septum Piercing,Sunglasses,None
264,3397,Lavender,Female,Shade 2,None,None,Mohawk,Black,Hoodie,Gold Cuban,Septum Piercing,None,None
265,3998,Mauve,Male,Shade 5,None,None,Dreads,Black,White Tee,None,Blunt,None,None
266,3823,Sand,Male,Shade 2,None,None,Top Dreads,Brown,Turtleneck,None,None,Gold Piercings,None
267,1746,Turquoise,Female,Shade 6,None,None,Buzzed Braids,Platinum,Cut Off Sleeves,Black Choker,Cigarette,Silver Piercings,None
268,2869,Pine,Male,Shade 3,None,None,Mullet,Platinum,Turtleneck,None,Blunt,Steampunk Shades,Pencil Jaw
269,1659,Orange,Female,Shade 7,None,None,Buzzed Braids,Brown,Ripped Up Tee,Pearl Necklace,Pipe,Steampunk Shades,None
270,1610,Blue,Male,Shade 2,None,None,Buzzed Braids,Blonde,Button up,Black Choker,Blunt,Steampunk Shades,Sideburns
271,4495,Deco,Male,Shade 6,None,None,Mohawk,Platinum,Shirtless,None,None,None,None
272,4517,Sand,Male,Shade 5,None,None,Bowl Cut,Black,Shirtless,None,None,None,None
273,3597,Deco,Male,Shade 4,None,None,Mohawk,Platinum,Hoodie,Gold Cuban,Blunt,None,None
274,3392,Pink,Female,Shade 1,None,None,Shaggy,Red,White Tee,None,Septum Piercing,Steampunk Shades,None
275,4780,Light Purple,Male,Shade 1,None,None,Mohawk,Platinum,Hoodie,None,None,None,None
276,3627,Green,Male,Shade 1,None,None,Crew Cut,Black,White Tank,Gold Cuban,Vape,None,None
277,1732,Mauve,Male,Shade 7,None,Forwards Cap,Hat,Red,Dirty Tee,None,Blunt,Sunglasses,Half Goat
278,3546,Turquoise,Male,Shade 7,None,None,Top Dreads,Brown,Turtleneck,None,None,Silver Piercings,Handlebars
279,61,Pine,Female,Zombie,None,Bucket Hat,Hat,Green,Leather Jacket,Black Choker,Septum Piercing,Designer Shades,None
280,3947,Pine,Male,Shade 4,None,None,Shaggy,Brown,Rags,None,Cigarette,None,None
281,1638,Sand,Female,Shade 6,None,None,Buzzed Braids,Red,Dirty Tee,Gold Cuban,Hay,Shutter Shades,None
282,4540,Sand,Male,Shade 3,None,None,Mohawk,Brown,Rags,None,None,None,None
283,1162,Pine,Male,Shade 3,None,Beanie,Hat,Platinum,Collard Tee,Gold Cuban,Vape,3D Glasses,None
284,1428,Sand,Female,Shade 2,None,None,Spikey,Blonde,Camo Tee,Pearl Necklace,Septum Piercing,3D Glasses,None
285,2731,Deco,Male,Shade 5,None,None,Bowl Cut,Platinum,Shirtless With Tats,None,Blunt,Bridge Piercing,Full Goat
286,1112,Sand,Male,Shade 7,None,Beanie,Hat,Green,Camo Tee,Pink Choker,None,Silver Piercings,None
287,4966,Green,Male,Shade 2,None,None,Mohawk,Brown,Hoodie,None,None,None,None
288,2785,Sand,Male,Shade 2,None,None,Top Dreads,Red,Camo Tee,Gold Cuban,Vape,None,Sideburns
289,383,Pink,Male,Shade 5,None,Backwards Hat,Hat,Black,Zip Up Hoodie,Pink Choker,Hay,Eyepatch,Lined Up Soul Patch
290,4419,Orange,Female,Shade 7,None,None,Mullet,Red,Zip Up Hoodie,None,None,None,None
291,768,Green,Female,Shade 1,None,Forwards Cap,Hat,Black,Cut Off Sleeves,Silver Cuban,Hay,Cyborg Glasses,None
292,824,Yellow,Female,Shade 5,None,Beanie,Hat,Brown,Leather Jacket,Pearl Necklace,Snake Bites,Designer Shades 2,None
293,4329,Green,Female,Shade 6,None,None,Mullet,Red,Button up,None,None,None,None
294,3382,Mauve,Female,Shade 4,None,None,Crew Cut,Black,White Tee,Gold Cuban,Vape,None,None
295,1518,Light Purple,Male,Shade 6,None,None,Spikey,Red,Hoodie,Pearl Necklace,Vape,Gold Piercings,Half Goat
296,2530,Mauve,Female,Shade 3,None,None,Mullet,Brown,Button up,Silver Cuban,Pipe,Designer Shades 2,None
297,2588,Deco,Male,Shade 3,None,Beanie,Hat,Platinum,Zip Up Hoodie,None,Snake Bites,Gold Piercings,None
298,4425,Orange,Female,Shade 6,None,None,Shaggy,Black,White Tee,None,None,None,None
299,3533,Pine,Female,Shade 5,None,None,Mohawk,Platinum,Hoodie,None,Pipe,Designer Shades 2,None
300,1779,Light Purple,Female,Shade 1,None,None,Shoulder Length,Black,Zip Up Hoodie,Pearl Necklace,Quellazaire,Gold Piercings,None
301,371,Deco,Female,Shade 2,None,Sweatband,Hat,Green,White Tank,Pink Choker,Surgical Mask,Eyepatch,None
302,3214,Blue,Female,Shade 6,None,None,Shoulder Length,Blonde,White Tee,Gold Cuban,Pipe,None,None
303,4697,Mauve,Male,Shade 5,None,None,Top Dreads,Red,Button up,None,None,None,None
304,3431,Deco,Male,Shade 7,None,None,Bowl Cut,Black,Button up,Gold Cuban,None,Reading Glasses,None
305,130,Deco,Male,Shade 5,Lazy Boy Tats,Beanie,Hat,Rainbow,Dirty Tee,Gold Cuban,Hydration Pack,None,5 o'clock
306,529,Blue,Male,Shade 5,None,Beanie,Hat,Black,Collard Tee,Pink Choker,Cigarette,Designer Shades 2,Lined Up Soul Patch
307,310,Pine,Female,Shade 3,None,Bucket Hat,Hat,Green,Camo Tee,Bling,Snake Bites,Designer Shades 2,None
308,41,Orange,Male,Shade 6,Street Tats,Sweatband,Hat,Pink,Dirty Tee,Black Choker,Cigarette,3D Glasses,Chinstrap
309,3709,Lavender,Male,Shade 2,None,None,Mullet,Brown,Zip Up Hoodie,None,None,Sunglasses,5 o'clock
310,3722,Blue,Female,Shade 6,None,None,Mullet,Red,Turtleneck,None,None,Steampunk Shades,None
311,4459,Blue,Female,Shade 7,None,None,Crew Cut,Red,Hoodie,None,None,None,None
312,1680,Deco,Male,Shade 6,None,None,Top Dreads,Black,Cut Off Sleeves,Silver Cuban,Septum Piercing,Bridge Piercing,Pencil Jaw
313,282,Deco,Male,Shade 1,None,Horns,Hat,Black,Dirty Tee,Pearl Necklace,Respirator Mask,Cyborg Glasses,Dapper Stache
314,2752,Light Purple,Male,Shade 2,None,None,Dreads,Black,White Tee,Gold Cuban,Vape,Designer Shades 2,None
315,3584,Blue,Male,Shade 1,None,None,Mohawk,Black,Turtleneck,None,Blunt,Gold Piercings,None
316,1368,Sand,Male,Shade 4,None,Winter Hat,Hat,Black,Button up,Silver Cuban,None,Bridge Piercing,Quarter Goat
317,4602,Pine,Male,Shade 6,None,None,Bald,Blonde,Hoodie,None,None,None,None
318,1331,Pine,Male,Shade 4,None,Sweatband,Hat,Brown,Camo Tee,Silver Cuban,None,Designer Shades 2,Handlebars
319,4890,Sand,Male,Shade 6,None,None,Crew Cut,Blonde,Hoodie,None,None,None,None
320,1332,Green,Male,Shade 1,None,Trucker Hat,Hat,Blonde,Zip Up Hoodie,Silver Cuban,None,Shutter Shades,Full Goat
321,3157,Deco,Female,Shade 6,None,None,Dreads,Blonde,Turtleneck,None,Blunt,Gold Piercings,None
322,1880,Yellow,Male,Shade 6,None,None,Crew Cut,Blonde,Zip Up Hoodie,Black Choker,Pipe,Silver Piercings,Handlebars
323,1294,Pine,Female,Shade 1,None,Cowboy Hat,Hat,Green,Turtleneck,None,Wizard Pipe,Designer Shades 2,None
324,4318,Yellow,Female,Shade 1,None,None,Crew Cut,Blonde,Button up,None,None,None,None
325,290,Sand,Male,Shade 2,None,Trucker Hat,Hat,Green,Button up,Silver Cuban,Wizard Pipe,Shutter Shades,Dapper Stache
326,3779,Turquoise,Male,Shade 5,None,None,Top Dreads,Brown,Turtleneck,None,Cigarette,None,5 o'clock
327,4345,Turquoise,Female,Shade 4,None,None,Top Dreads,Blonde,White Tank,None,None,None,None
328,4301,Orange,Female,Shade 3,None,None,Mohawk,Platinum,White Tee,None,None,None,None
329,1625,Blue,Male,Shade 5,None,Backwards Hat,Hat,Brown,Dirty Tee,None,Vape,Designer Shades,Quarter Goat
330,2378,Orange,Female,Shade 4,None,Forwards Cap,Hat,Blonde,Hoodie,None,Septum Piercing,Sunglasses,None
331,3906,Mauve,Male,Shade 6,None,None,Shaggy,Platinum,Shirtless,None,Blunt,None,None
332,1117,Light Purple,Female,Shade 3,None,Sweatband,Hat,Brown,White Tank,Silver Cuban,Septum Piercing,Future Shades,None
333,1831,Sand,Male,Shade 3,None,None,Mullet,Black,Button up,Gold Cuban,Snake Bites,Sunglasses,Half Goat
334,628,Pink,Female,Shade 7,None,Bucket Hat,Hat,Brown,Leather Jacket,Pearl Necklace,Septum Piercing,Shutter Shades,None
335,4735,Orange,Male,Shade 7,None,None,Crew Cut,Red,Button up,None,None,None,None
336,943,Light Purple,Female,Shade 5,None,Beanie,Hat,Black,White Tank,Black Choker,Surgical Mask,Steampunk Shades,None
337,912,Pink,Female,Shade 7,None,Winter Hat,Hat,Blonde,Ripped Up Tee,Silver Cuban,Blunt,Shutter Shades,None
338,2333,Pine,Female,Shade 3,None,None,Bowl Cut,Blonde,Zip Up Hoodie,Black Choker,Blunt,Designer Shades 2,None
339,3907,Blue,Female,Shade 2,None,None,Shaggy,Blonde,White Tank,None,Cigarette,None,None
340,1050,Deco,Male,Shade 1,None,Beanie,Hat,Pink,Zip Up Hoodie,Gold Cuban,None,Silver Piercings,Chinstrap
341,4031,Pink,Female,Shade 3,None,None,Bowl Cut,Brown,Festival Top,None,None,None,None
342,715,Deco,Male,Shade 4,None,Bucket Hat,Hat,Red,Camo Tee,Gold Cuban,Cigarette,Designer Shades,Chinstrap
343,3996,Deco,Male,Shade 1,None,None,Crew Cut,Platinum,Button up,None,Vape,None,None
344,2665,Yellow,Male,Shade 1,None,None,Shaggy,Platinum,Leather Jacket,None,Wizard Pipe,Eyepatch,Sideburns
345,819,Blue,Female,Shade 6,None,Forwards Cap,Hat,Black,Cut Off Sleeves,Black Choker,Snake Bites,Designer Shades,None
346,4535,Lavender,Male,Shade 4,None,None,Shaggy,Blonde,Shirtless,None,None,None,None
347,197,Pink,Male,Shade 6,Lazy Boy Tats,Bucket Hat,Hat,Rainbow,Button up,None,Wizard Pipe,Future Shades,None
348,172,Pine,Female,Shade 5,Street Tats,Bucket Hat,Hat,Pink,Cut Off Sleeves,None,Snake Bites,Gold Piercings,None
349,2504,Yellow,Female,Shade 2,None,None,Top Dreads,Black,White Tank,Gold Cuban,Blunt,Reading Glasses,None
350,3758,Green,Female,Shade 3,None,None,Shoulder Length,Blonde,Rags,None,Blunt,None,None
351,4831,Blue,Male,Shade 2,None,None,Bowl Cut,Blonde,Hoodie,None,None,None,None
352,1107,Pink,Male,Shade 7,None,Forwards Cap,Hat,Black,Dirty Tee,Pearl Necklace,None,Shutter Shades,Quarter Goat
353,3269,Yellow,Female,Shade 1,None,None,Shoulder Length,Brown,White Tee,None,Septum Piercing,Designer Shades,None
354,2456,Mauve,Female,Shade 6,None,None,Bowl Cut,Blonde,Zip Up Hoodie,Gold Cuban,Pipe,Designer Shades,None
355,3415,Blue,Female,Shade 3,None,None,Bowl Cut,Red,White Tee,None,Vape,Silver Piercings,None
356,948,Lavender,Male,Shade 7,None,Sweatband,Hat,Black,White Tank,Gold Cuban,Cigarette,Shutter Shades,Half Goat
357,1039,Yellow,Male,Shade 7,None,Cowboy Hat,Hat,Platinum,Zip Up Hoodie,Bling,None,Silver Piercings,Sideburns
358,4088,Orange,Female,Shade 5,None,None,Crew Cut,Red,Rags,None,None,None,None
359,1097,Mauve,Male,Shade 6,None,Sweatband,Hat,Red,Hoodie,Gold Cuban,Pipe,Silver Piercings,5 o'clock
360,2122,Yellow,Male,Shade 7,None,None,Mullet,Black,Hoodie,Gold Cuban,Quellazaire,Reading Glasses,Half Goat
361,2918,Blue,Male,Shade 7,None,None,Shaggy,Black,Rags,None,Cigarette,Silver Piercings,Pencil Jaw
362,1417,Green,Male,Shade 3,None,Bucket Hat,Hat,Brown,Camo Tee,Pearl Necklace,None,Cyborg Glasses,None
363,683,Yellow,Female,Shade 5,None,Beanie,Hat,Red,Leather Jacket,Pink Choker,Blunt,Sunglasses,None
364,4909,Turquoise,Male,Shade 5,None,None,Crew Cut,Brown,Zip Up Hoodie,None,None,None,None
365,39,Light Purple,Male,Shade 4,Street Tats,Horns,Hat,Platinum,Ripped Up Tee,Bling,Snake Bites,Shutter Shades,Chinstrap
366,2971,Orange,Male,Shade 7,None,None,Dreads,Brown,White Tee,Silver Cuban,Pipe,None,Full Goat
367,3256,Orange,Male,Shade 7,None,None,Dreads,Brown,Hoodie,Silver Cuban,None,Gold Piercings,None
368,312,Yellow,Male,Shade 5,None,Forwards Cap,Hat,Green,Cut Off Sleeves,Gold Cuban,Wizard Pipe,Gold Piercings,Half Goat
369,3057,Orange,Female,Shade 4,None,None,Shoulder Length,Platinum,Rags,None,Blunt,Designer Shades 2,None
370,4840,Turquoise,Male,Shade 3,None,None,Mullet,Brown,White Tee,None,None,None,None
371,4150,Yellow,Female,Shade 2,None,None,Mohawk,Red,Festival Top,None,None,None,None
372,346,Yellow,Male,Shade 7,None,Sweatband,Hat,Pink,White Tee,Gold Cuban,Respirator Mask,Designer Shades,Pencil Jaw
373,3048,Deco,Female,Shade 4,None,None,Buzzed Braids,Brown,Hoodie,Silver Cuban,None,Designer Shades 2,None
374,3218,Sand,Male,Shade 1,None,None,Mohawk,Brown,White Tee,None,Blunt,Gold Piercings,5 o'clock
375,4212,Orange,Female,Shade 1,None,None,Shoulder Length,Black,Hoodie,None,None,None,None
376,90,Green,Male,Shade 1,Lazy Boy Tats,Backwards Hat,Hat,Black,Dirty Tee,Black Choker,Cigarette,Designer Shades,Chinstrap
377,2806,Yellow,Male,Shade 6,None,None,Bald,Blonde,Shirtless With Tats,None,Septum Piercing,Designer Shades 2,Full Goat
378,968,Green,Female,Shade 1,None,Forwards Cap,Hat,Platinum,Collard Tee,Silver Cuban,Septum Piercing,Sunglasses,None
379,2659,Orange,Male,Shade 5,None,None,Shaggy,Platinum,White Tank,Silver Cuban,None,Eyepatch,Handlebars
380,403,Green,Female,Shade 2,None,Cowboy Hat,Hat,Brown,Hawaiian Shirt,Bling,Snake Bites,Sunglasses,None
381,2259,Orange,Female,Shade 5,None,None,Crew Cut,Platinum,White Tank,Gold Cuban,Pipe,3D Glasses,None
382,2291,Blue,Male,Shade 6,None,Beanie,Hat,Platinum,Collard Tee,None,Surgical Mask,Sunglasses,None
383,3734,Turquoise,Female,Shade 4,None,None,Dreads,Black,White Tank,Gold Cuban,None,None,None
384,3192,Orange,Female,Shade 4,None,None,Shoulder Length,Platinum,Hoodie,Silver Cuban,Cigarette,None,None
385,4523,Deco,Male,Shade 6,None,None,Mohawk,Red,Shirtless With Tats,None,None,None,None
386,3723,Turquoise,Female,Shade 4,None,None,Shaggy,Brown,Dress,None,None,Designer Shades 2,None
387,104,Deco,Female,Shade 6,Street Tats,Cowboy Hat,Hat,Pink,Dirty Tee,Pink Choker,None,Gold Piercings,None
388,1649,Turquoise,Female,Shade 1,None,Forwards Cap,Hat,Platinum,Hoodie,Silver Cuban,None,Cyborg Glasses,None
389,2872,Light Purple,Male,Shade 7,None,None,Crew Cut,Black,White Tee,Silver Cuban,Pipe,Designer Shades 2,None
390,3247,Sand,Female,Shade 2,None,None,Top Dreads,Brown,White Tank,Silver Cuban,Septum Piercing,None,None
391,4320,Pink,Female,Shade 4,None,None,Shaggy,Red,White Tank,None,None,None,None
392,1585,Turquoise,Male,Shade 7,None,None,Crew Cut,Platinum,Button up,Black Choker,Snake Bites,Shutter Shades,5 o'clock
393,4513,Blue,Female,Shade 4,None,None,Mohawk,Red,Hoodie,None,None,None,None
394,97,Green,Female,Shade 7,Lazy Boy Tats,Sweatband,Hat,Blue,White Tee,Gold Cuban,Septum Piercing,Steampunk Shades,None
395,1515,Green,Male,Shade 7,None,Winter Hat,Hat,Platinum,Turtleneck,None,Wizard Pipe,Reading Glasses,Pencil Jaw
396,1360,Green,Female,Shade 3,None,Winter Hat,Hat,Platinum,Striped Tee,Pearl Necklace,Quellazaire,None,None
397,3400,Light Purple,Male,Shade 7,None,None,Dreads,Platinum,White Tank,None,Quellazaire,3D Glasses,None
398,142,Pine,Female,Zombie,None,None,Crew Cut,Green,Camo Tee,Pink Choker,Cigarette,Shutter Shades,None
399,1143,Pine,Male,Shade 2,None,Sweatband,Hat,Pink,Cut Off Sleeves,Silver Cuban,Vape,None,Quarter Goat
400,3926,Pine,Male,Shade 1,None,None,Bowl Cut,Brown,Rags,None,Cigarette,None,None
401,1418,Deco,Female,Shade 2,None,Beanie,Hat,Platinum,Cut Off Sleeves,Gold Cuban,None,Steampunk Shades,None
402,4550,Blue,Male,Shade 4,None,None,Mohawk,Brown,Shirtless,None,None,None,None
403,744,Deco,Male,Shade 1,None,Sweatband,Hat,Platinum,White Tee,Gold Cuban,Surgical Mask,Future Shades,Quarter Goat
404,4352,Yellow,Female,Shade 5,None,None,Bowl Cut,Black,White Tank,None,None,None,None
405,504,Turquoise,Male,Shade 3,None,Trucker Hat,Hat,Black,Striped Tee,Gold Cuban,Hydration Pack,Gold Piercings,Full Goat
406,2041,Lavender,Female,Shade 3,None,None,Mullet,Platinum,Hawaiian Shirt,Silver Cuban,Cigarette,Designer Shades,None
407,1023,Turquoise,Female,Shade 4,None,Beanie,Hat,Blonde,Hoodie,Black Choker,Snake Bites,Sunglasses,None
408,4106,Pink,Female,Shade 2,None,None,Mullet,Black,Festival Top,None,None,None,None
409,860,Green,Male,Shade 1,None,Forwards Cap,Hat,Green,Button up,Black Choker,Hay,Reading Glasses,None
410,3336,Lavender,Male,Shade 4,None,None,Bowl Cut,Black,White Tank,None,Blunt,Designer Shades 2,5 o'clock
411,4032,Pink,Female,Shade 4,None,None,Bowl Cut,Brown,Festival Top,None,None,None,None
412,2193,Mauve,Female,Shade 1,None,Forwards Cap,Hat,Platinum,Turtleneck,None,Pipe,Gold Piercings,None
413,263,Deco,Female,Shade 5,None,Horns,Hat,Green,Cut Off Sleeves,Bling,Surgical Mask,Designer Shades,None
414,2756,Blue,Male,Shade 5,None,None,Buzzed Braids,Platinum,White Tank,Silver Cuban,Surgical Mask,None,Half Goat
415,3385,Turquoise,Male,Shade 5,None,None,Top Dreads,Brown,Hoodie,None,Cigarette,Reading Glasses,5 o'clock
416,3983,Blue,Female,Shade 4,None,None,Shoulder Length,Blonde,Festival Top,None,None,None,None
417,3169,Mauve,Male,Shade 1,None,None,Crew Cut,Blonde,White Tee,Gold Cuban,Cigarette,None,5 o'clock
418,4921,Mauve,Male,Shade 3,None,None,Top Dreads,Black,Hoodie,None,None,None,None
419,4519,Light Purple,Male,Shade 4,None,None,Crew Cut,Red,Rags,None,None,None,None
420,779,Lavender,Male,Shade 5,None,Bucket Hat,Hat,Red,White Tank,Silver Cuban,Pipe,3D Glasses,Lined Up Soul Patch
421,4521,Mauve,Female,Shade 5,None,None,Mohawk,Black,White Tee,None,None,None,None
422,886,Sand,Female,Shade 1,None,Bucket Hat,Hat,Blonde,White Tee,Gold Cuban,Hay,Cyborg Glasses,None
423,1422,Deco,Male,Shade 3,None,None,Mullet,Black,Cut Off Sleeves,Black Choker,Vape,3D Glasses,Half Goat
424,390,Pink,Male,Shade 5,None,Trucker Hat,Hat,Brown,Dirty Tee,Silver Cuban,Wizard Pipe,Cyborg Glasses,Chinstrap
425,4152,Lavender,Female,Shade 2,None,None,Shoulder Length,Platinum,Button up,None,None,None,None
426,4121,Yellow,Female,Shade 1,None,None,Shaggy,Red,Festival Top,None,None,None,None
427,4014,Yellow,Male,Shade 7,None,None,Shaggy,Blonde,Button up,None,Blunt,None,None
428,2298,Pink,Male,Shade 5,None,Bucket Hat,Hat,Green,Hoodie,None,Hay,None,Half Goat
429,3454,Blue,Female,Shade 4,None,None,Dreads,Platinum,Hoodie,None,Pipe,Designer Shades 2,None
430,402,Pink,Female,Shade 4,None,Sweatband,Hat,Blue,Cut Off Sleeves,Silver Cuban,Snake Bites,Steampunk Shades,None
431,1148,Lavender,Male,Shade 5,None,Winter Hat,Hat,Platinum,Button up,Bling,Cigarette,Designer Shades 2,None
432,3427,Sand,Male,Shade 5,None,Backwards Hat,Hat,Blonde,Turtleneck,None,None,None,Handlebars
433,2772,Deco,Male,Shade 5,None,None,Buzzed Braids,Red,Hawaiian Shirt,None,Quellazaire,Reading Glasses,Pencil Jaw
434,1968,Blue,Male,Shade 4,None,Sweatband,Hat,Blonde,Turtleneck,None,Vape,Reading Glasses,Full Goat
435,3836,Deco,Female,Shade 2,None,None,Mullet,Red,Turtleneck,None,Vape,None,None
436,945,Pink,Male,Shade 6,None,Sweatband,Hat,Red,Button up,Silver Cuban,Blunt,Designer Shades,Handlebars
437,4238,Pine,Male,Shade 6,None,None,Bald,Black,Shirtless,None,None,None,None
438,3803,Light Purple,Female,Shade 6,None,None,Shaggy,Platinum,White Tee,None,None,Reading Glasses,None
439,4891,Mauve,Male,Shade 7,None,None,Mohawk,Red,Button up,None,None,None,None
440,642,Light Purple,Female,Shade 7,None,Horns,Hat,Green,White Tank,Silver Cuban,Vape,Steampunk Shades,None
441,3990,Orange,Male,Shade 3,None,None,Bald,Blonde,Zip Up Hoodie,None,Cigarette,None,None
442,1130,Sand,Male,Shade 7,None,Sweatband,Hat,Brown,Ripped Up Tee,Pearl Necklace,None,Designer Shades,Full Goat
443,3491,Yellow,Male,Shade 4,None,None,Dreads,Platinum,White Tank,Gold Cuban,Blunt,None,None
